time,linear_accel_x,linear_accel_y,linear_accel_z,angular_vel_x,angular_vel_y,angular_vel_z
0.250098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.499993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.750055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.250151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.500032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.750252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.250227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.500218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.750221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.250133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.500219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.750210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.250152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.500164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.750237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.250171,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000
5.500150,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000
5.750162,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000
6.000252,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
6.250154,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000
6.500116,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000
6.750244,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000
7.000326,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
7.250161,0.087500,0.000000,0.000000,0.000000,0.000000,0.000000
7.500051,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000
7.750153,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000
8.000220,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
8.250162,0.037500,0.000000,0.000000,0.000000,0.000000,0.000000
8.500104,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000
8.750120,0.012500,0.000000,0.000000,0.000000,0.000000,0.000000
9.000164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.249988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.500106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.750025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.250225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.500100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.750156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.250146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.500032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.750402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.250098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.500159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.750036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.000146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.250092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.500059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.750144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.250031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.500027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.750153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.249977,-0.012500,0.000000,0.000000,0.000000,0.000000,0.000000
15.500144,-0.025000,0.000000,0.000000,0.000000,0.000000,0.000000
15.750261,-0.037500,0.000000,0.000000,0.000000,0.000000,0.000000
16.000106,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
16.250163,-0.062500,0.000000,0.000000,0.000000,0.000000,0.000000
16.500022,-0.075000,0.000000,0.000000,0.000000,0.000000,0.000000
